iter	Passed	Remaining
0	144	14329
1	146	7182
2	149	4834
3	151	3637
4	153	2922
5	155	2433
6	157	2096
7	159	1836
8	161	1633
9	162	1466
10	164	1332
11	166	1223
12	168	1129
13	172	1060
14	173	983
15	174	914
16	175	857
17	177	807
18	178	762
19	180	721
20	182	685
21	184	654
22	187	627
23	189	600
24	193	580
25	196	557
26	203	550
27	205	528
28	206	505
29	207	485
30	209	465
31	210	447
32	213	433
33	215	418
34	217	404
35	219	391
36	221	377
37	223	365
38	224	351
39	226	340
40	228	329
41	230	318
42	232	307
43	233	296
44	234	287
45	236	277
46	238	268
47	239	259
48	241	250
49	242	242
50	243	234
51	245	226
52	248	220
53	251	213
54	252	206
55	256	201
56	261	197
57	263	190
58	264	184
59	266	177
60	268	171
61	270	165
62	272	159
63	274	154
64	276	148
65	277	143
66	278	137
67	280	132
68	282	126
69	283	121
70	286	117
71	289	112
72	291	107
73	293	103
74	295	98
75	296	93
76	298	89
77	301	85
78	303	80
79	305	76
80	307	72
81	308	67
82	310	63
83	311	59
84	313	55
85	315	51
86	317	47
87	319	43
88	320	39
89	321	35
90	323	32
91	324	28
92	326	24
93	327	20
94	332	17
95	334	13
96	336	10
97	338	6
98	339	3
99	341	0
