iter	Passed	Remaining
0	178	17711
1	190	9318
2	202	6553
3	215	5162
4	224	4267
5	235	3694
6	247	3287
7	260	2991
8	269	2727
9	279	2519
10	287	2329
11	297	2178
12	304	2040
13	313	1928
14	324	1840
15	335	1763
16	346	1692
17	358	1634
18	370	1578
19	379	1518
20	390	1469
21	401	1422
22	410	1374
23	422	1338
24	436	1309
25	449	1279
26	461	1247
27	475	1222
28	487	1192
29	498	1163
30	505	1124
31	517	1099
32	526	1068
33	538	1045
34	549	1021
35	560	996
36	571	973
37	582	950
38	593	927
39	605	908
40	629	906
41	645	891
42	662	877
43	682	868
44	704	860
45	718	843
46	728	821
47	737	799
48	747	778
49	759	759
50	768	738
51	781	721
52	791	702
53	802	683
54	813	665
55	825	648
56	835	630
57	846	613
58	858	596
59	866	577
60	882	563
61	893	547
62	903	530
63	912	513
64	925	498
65	937	483
66	951	468
67	962	453
68	973	437
69	982	421
70	994	406
71	1005	390
72	1014	375
73	1025	360
74	1036	345
75	1045	330
76	1056	315
77	1066	300
78	1077	286
79	1089	272
80	1100	258
81	1110	243
82	1122	229
83	1132	215
84	1142	201
85	1153	187
86	1162	173
87	1174	160
88	1186	146
89	1195	132
90	1207	119
91	1218	105
92	1232	92
93	1243	79
94	1255	66
95	1268	52
96	1278	39
97	1299	26
98	1309	13
99	1320	0
